25 2323
20 53 60
10 27 32
10 31 43
10 5 3
10 66 15
10 3 21
10 35 7
10 55 29
10 34 44
10 12 65
10 5 57
10 55 6
10 7 15
10 27 56
10 67 62
10 43 40
10 17 36
10 54 20
10 25 51
10 19 14
10 21 31
22 67 63
22 1 52
22 46 41
22 84 24
22 11 33
22 74 3
22 65 38
22 25 82
22 30 27
22 6 82
22 68 17
22 50 44
22 41 32
22 16 35
22 55 34
22 4 77
22 4 56
22 68 56
22 92 37
22 72 26
4 83 53
4 21 60
4 67 72
4 81 49
4 33 52
4 28 54
4 92 27
4 67 58
4 75 64
4 40 78
4 3 36
4 81 96
4 41 5
4 5 3
4 3 66
4 5 63
4 19 90
4 14 20
4 95 72
4 52 2
9 96 74
9 66 25
9 61 39
9 58 34
9 1 79
9 36 92
9 92 43
9 39 86
9 59 61
9 0 23
9 13 8
9 26 51
9 70 92
9 23 95
9 32 84
9 37 35
9 87 39
9 71 20
9 20 96
9 78 40
